# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)                 S₁(n=6)                 S₂(n=6)
    0.376494     -2.215749592001E+01      1.771821295379E+00      6.690045900920E-02      1.580245629050E+00      2.440019974744E-02      2.116944536649E+00      2.339566236120E-01      3.767828104424E-01      1.474012056296E-01
    0.403702     -2.203603015493E+01      1.765097813394E+00      7.047335592223E-02      1.571418027337E+00      2.597520665030E-02      2.115040478554E+00      2.421136412862E-01      4.048413162902E-01      1.603975760442E-01
    0.432876     -2.190706019430E+01      1.758239633876E+00      7.411230609356E-02      1.562439974732E+00      2.759757943529E-02      2.112989064212E+00      2.503269189483E-01      4.345576082467E-01      1.743361582084E-01
    0.464159     -2.177017384949E+01      1.751242146106E+00      7.781064872069E-02      1.553310189284E+00      2.926454116843E-02      2.110782737285E+00      2.585858247774E-01      4.660076809140E-01      1.892718309380E-01
    0.497702     -2.162494177013E+01      1.744100058087E+00      8.156155045623E-02      1.544026539260E+00      3.097308939812E-02      2.108413709952E+00      2.668797670637E-01      4.992714397490E-01      2.052627573835E-01
    0.533670     -2.147091740207E+01      1.736807358212E+00      8.535804976922E-02      1.534585972849E+00      3.272001834089E-02      2.105873950099E+00      2.751982484527E-01      5.344330925004E-01      2.223707478758E-01
    0.572237     -2.130763705908E+01      1.729357271351E+00      8.919309822100E-02      1.524984442896E+00      3.450194122610E-02      2.103155167108E+00      2.835309199219E-01      5.715815880197E-01      2.406616757366E-01
    0.613591     -2.113462012957E+01      1.721742207632E+00      9.305959848590E-02      1.515216823749E+00      3.631531238021E-02      2.100248796390E+00      2.918676354788E-01      6.108111123376E-01      2.602059548847E-01
    0.657933     -2.095136944311E+01      1.713953701938E+00      9.695043928740E-02      1.505276816522E+00      3.815644877583E-02      2.097145982901E+00      3.001985089854E-01      6.522216547319E-01      2.810790902565E-01
    0.705480     -2.075737182595E+01      1.705982341833E+00      1.008585278122E-01      1.495156838184E+00      4.002155095991E-02      2.093837563866E+00      3.085139750049E-01      6.959196601377E-01      3.033623148624E-01
    0.756463     -2.055209887946E+01      1.697817681167E+00      1.047768206244E-01      1.484847888629E+00      4.190672351833E-02      2.090314051012E+00      3.168048561529E-01      7.420187889566E-01      3.271433309098E-01
    0.811131     -2.033500802224E+01      1.689448136011E+00      1.086983546557E-01      1.474339388229E+00      4.380799554523E-02      2.086565612547E+00      3.250624401172E-01      7.906408115174E-01      3.525171771154E-01
    0.869749     -2.010554384358E+01      1.680860858723E+00      1.126162805437E-01      1.463618976119E+00      4.572134199051E-02      2.082582055043E+00      3.332785703400E-01      8.419166726971E-01      3.795872504777E-01
    0.932603     -1.986313982600E+01      1.672041584810E+00      1.165239014941E-01      1.452672256246E+00      4.764270729986E-02      2.078352805214E+00      3.414457553231E-01      8.959877733383E-01      4.084665189117E-01
    1.000000     -1.960722050576E+01      1.662974445643E+00      1.204147220626E-01      1.441482473786E+00      4.956803350746E-02      2.073866891094E+00      3.495573026669E-01      9.530075302422E-01      4.392789720285E-01
    1.072267     -1.933720415552E+01      1.653641737839E+00      1.242825129322E-01      1.430030098187E+00      5.149329599559E-02      2.069112921439E+00      3.576074852532E-01      1.013143297272E+00      4.721613720212E-01
    1.149757     -1.905250609179E+01      1.644023637001E+00      1.281214001208E-01      1.418292280037E+00      5.341455166145E-02      2.064079060757E+00      3.655917483969E-01      1.076578758774E+00      5.072653866524E-01
    1.232847     -1.875254273427E+01      1.634097838946E+00      1.319259903726E-01      1.406242136031E+00      5.532800647426E-02      2.058752995024E+00      3.735069681594E-01      1.143516946284E+00      5.447602139383E-01
    1.321941     -1.843673657553E+01      1.623839104914E+00      1.356915491534E-01      1.393847797585E+00      5.723011273157E-02      2.053121879033E+00      3.813517720135E-01      1.214184084914E+00      5.848358465546E-01
    1.417474     -1.810452226082E+01      1.613218677366E+00      1.394142541534E-01      1.381071131604E+00      5.911771126980E-02      2.047172249335E+00      3.891269329919E-01      1.288834553135E+00      6.277071780336E-01
    1.519911     -1.775535403296E+01      1.602203517823E+00      1.430915560180E-01      1.367866002421E+00      6.098824122704E-02      2.040889874782E+00      3.968358460641E-01      1.367757347626E+00      6.736192296098E-01
    1.629751     -1.738871487404E+01      1.590755294762E+00      1.467226895973E-01      1.354175886206E+00      6.284005076443E-02      2.034259496594E+00      4.044850882678E-01      1.451284594273E+00      7.228538862975E-01
    1.747528     -1.700412775125E+01      1.578829011377E+00      1.503093936624E-01      1.339930562799E+00      6.467285805059E-02      2.027264375231E+00      4.120850483412E-01      1.539802859812E+00      7.757386937974E-01
    1.873817     -1.660116958697E+01      1.566371104704E+00      1.538569124109E-01      1.325041485937E+00      6.648843400524E-02      2.019885505140E+00      4.196505766830E-01      1.633768284922E+00      8.326584909540E-01
    2.009233     -1.617948863382E+01      1.553316743768E+00      1.573753672795E-01      1.309395238991E+00      6.829161031579E-02      2.012100258744E+00      4.272015445669E-01      1.733726968056E+00      8.940710135064E-01
    2.154435     -1.573882633237E+01      1.539585892010E+00      1.608815878994E-01      1.292844206572E+00      7.009175708968E-02      2.003880059528E+00      4.347630779502E-01      1.840342484331E+00      9.605280949751E-01
    2.310130     -1.527904502041E+01      1.525077416443E+00      1.644014578883E-01      1.275193173641E+00      7.190492498711E-02      1.995186407068E+00      4.423650121535E-01      1.954433011885E+00      1.032704850566E+00
    2.477076     -1.480016341183E+01      1.509660053981E+00      1.679727108531E-01      1.256179967823E+00      7.375689476708E-02      1.985964117701E+00      4.500397178196E-01      2.077021067252E+00      1.111440317462E+00
    2.656088     -1.430240248005E+01      1.493158254044E+00      1.716478016068E-01      1.235447457676E+00      7.568739048113E-02      1.976129889497E+00      4.578167567488E-01      2.209398985035E+00      1.197794560869E+00
    2.848036     -1.378624534094E+01      1.475329629008E+00      1.754957723644E-01      1.212503307151E+00      7.775560369999E-02      1.965553098930E+00      4.657116539675E-01      2.353212040227E+00      1.293129246441E+00
    3.053855     -1.325251588956E+01      1.455828783509E+00      1.796005627339E-01      1.186663364821E+00      8.004673832036E-02      1.954023945539E+00      4.737041934641E-01      2.510556200823E+00      1.399220753559E+00
    3.274549     -1.270248200839E+01      1.434149757898E+00      1.840503962907E-01      1.156976075577E+00      8.267807162471E-02      1.941201752679E+00      4.816989429465E-01      2.684073883826E+00      1.518415495496E+00
    3.511192     -1.213798912813E+01      1.409537506003E+00      1.889081188831E-01      1.122133258701E+00      8.580018916072E-02      1.926534350541E+00      4.894577376116E-01      2.876999042845E+00      1.653831493653E+00
    3.764936     -1.156162613133E+01      1.380862701149E+00      1.941461488161E-01      1.080396896353E+00      8.958335736846E-02      1.909141480305E+00      4.964933581130E-01      3.093037625790E+00      1.809586468535E+00
    4.037017     -1.097691223619E+01      1.346477227964E+00      1.995271084740E-01      1.029628333768E+00      9.416995391219E-02      1.887670181846E+00      5.019237697683E-01      3.335861810970E+00      1.990965880866E+00
    4.328761     -1.038846097314E+01      1.304135339802E+00      2.044290596903E-01      9.676013019061E-01      9.956631486252E-02      1.860175258089E+00      5.043238848599E-01      3.607890604955E+00      2.204298951815E+00
    4.641589     -9.802018708204E+00      1.251192883925E+00      2.076839672128E-01      8.928403561325E-01      1.054615477193E-01      1.824166524874E+00      5.016940412395E-01      3.908131405490E+00      2.456088284036E+00
    4.977024     -9.224212215244E+00      1.185390926696E+00      2.076265674897E-01      8.059970274017E-01      1.110355261789E-01      1.777051175958E+00      4.917592939643E-01      4.229579986986E+00      2.750833580498E+00
    5.336699     -8.661863341140E+00      1.106267159995E+00      2.026008923546E-01      7.110096303380E-01      1.149543659727E-01      1.717098270674E+00      4.727555564101E-01      4.558088689190E+00      3.087549578374E+00
